,Date,Unemployment %,Inflation,Interest Rate,GDP,Region
0,1999-Q1,13.2,-0.1,4.5,0.8,Northland
1,1999-Q2,14.0,-0.4,4.5,1.7,Northland
2,1999-Q3,9.3,-0.5,4.5,3.2,Northland
3,1999-Q4,9.7,0.5,4.833333333333333,4.5,Northland
4,2000-Q1,9.8,1.5,5.416666666666667,5.5,Northland
5,2000-Q2,8.9,2.0,6.333333333333333,6.1,Northland
6,2000-Q3,9.2,3.0,6.5,5.3,Northland
7,2000-Q4,9.1,4.0,6.5,4.3,Northland
8,2001-Q1,7.8,3.1,6.416666666666667,2.9,Northland
9,2001-Q2,6.9,3.2,5.833333333333333,2.2,Northland
10,2001-Q3,8.5,2.4,5.583333333333333,2.1,Northland
11,2001-Q4,9.5,1.8,4.916666666666667,2.6,Northland
12,2002-Q1,11.1,2.6,4.833333333333333,3.5,Northland
13,2002-Q2,9.0,2.8,5.416666666666667,4.0,Northland
14,2002-Q3,8.9,2.6,5.75,4.5,Northland
15,2002-Q4,8.8,2.7,5.75,4.7,Northland
16,2003-Q1,10.2,2.5,5.75,4.7,Northland
17,2003-Q2,7.6,1.5,5.416666666666667,4.4,Northland
18,2003-Q3,8.7,1.5,5.0,4.3,Northland
19,2003-Q4,7.2,1.6,5.0,4.2,Northland
20,2004-Q1,4.4,1.5,5.25,4.6,Northland
21,2004-Q2,5.0,2.4,5.583333333333333,5.2,Northland
22,2004-Q3,5.4,2.5,6.083333333333333,5.1,Northland
23,2004-Q4,4.3,2.7,6.5,4.8,Northland
24,2005-Q1,4.4,2.8,6.583333333333333,4.0,Northland
25,2005-Q2,7.5,2.8,6.75,3.4,Northland
26,2005-Q3,5.9,3.4,6.75,3.2,Northland
27,2005-Q4,5.0,3.2,7.083333333333333,3.2,Northland
28,2006-Q1,5.7,3.3,7.25,3.3,Northland
29,2006-Q2,5.9,4.0,7.25,3.0,Northland
30,2006-Q3,5.6,3.5,7.25,2.7,Northland
31,2006-Q4,3.6,2.6,7.25,2.9,Northland
32,2007-Q1,5.2,2.5,7.333333333333333,2.9,Northland
33,2007-Q2,3.4,2.0,7.833333333333333,3.2,Northland
34,2007-Q3,5.6,1.8,8.25,3.6,Northland
35,2007-Q4,2.7,3.2,8.25,3.5,Northland
36,2008-Q1,4.7,3.4,8.25,3.0,Northland
37,2008-Q2,4.1,4.0,8.25,2.2,Northland
38,2008-Q3,7.2,5.1,7.833333333333333,1.0,Northland
39,2008-Q4,6.5,3.4,6.0,-0.2,Northland
40,2009-Q1,8.6,3.0,3.3333333333333335,-1.1,Northland
41,2009-Q2,7.8,1.9,2.5,-1.7,Northland
42,2009-Q3,9.0,1.7,2.5,-1.8,Northland
43,2009-Q4,9.1,2.0,2.5,-1.2,Northland
44,2010-Q1,8.9,2.0,2.5,-0.1,Northland
45,2010-Q2,9.0,1.7,2.5833333333333335,1.1,Northland
46,2010-Q3,8.0,1.5,3.0,1.9,Northland
47,2010-Q4,8.4,4.0,3.0,1.8,Northland
48,2011-Q1,9.6,4.5,2.8333333333333335,1.5,Northland
49,2011-Q2,7.4,5.3,2.5,1.0,Northland
50,2011-Q3,8.6,4.6,2.5,1.0,Northland
51,2011-Q4,8.1,1.8,2.5,1.8,Northland
52,2012-Q1,8.3,1.6,2.5,2.3,Northland
53,2012-Q2,8.8,1.0,2.5,2.7,Northland
54,2012-Q3,9.2,0.8,2.5,2.6,Northland
55,2012-Q4,9.5,0.9,2.5,2.5,Northland
56,2013-Q1,9.7,0.9,2.5,2.2,Northland
57,2013-Q2,7.2,0.7,2.5,2.3,Northland
58,2013-Q3,9.3,1.4,2.5,2.6,Northland
59,2013-Q4,8.5,1.6,2.5,2.3,Northland
60,2014-Q1,7.6,1.5,2.5833333333333335,2.7,Northland
61,2014-Q2,7.5,1.6,3.0833333333333335,2.7,Northland
62,2014-Q3,8.5,1.0,3.5,2.9,Northland
63,2014-Q4,8.0,0.8,3.5,3.8,Northland
64,2015-Q1,9.1,0.3,3.5,3.8,Northland
65,2015-Q2,7.7,0.4,3.4166666666666665,4.1,Northland
66,2015-Q3,8.3,0.4,2.9166666666666665,4.1,Northland
67,2015-Q4,6.2,0.1,2.6666666666666665,3.7,Northland
68,2016-Q1,8.6,0.4,2.4166666666666665,3.7,Northland
69,2016-Q2,10.9,0.4,2.25,3.8,Northland
70,2016-Q3,7.8,0.4,2.0833333333333335,3.9,Northland
71,2016-Q4,7.6,1.3,1.8333333333333333,4.0,Northland
